Fecha;IPC;AOM
1/08/20;104.96;14.19167862
1/09/20;105.29;15.43880046
1/10/20;105.23;16.23799636
1/11/20;105.08;17.54198083
1/12/20;105.48;17.12111296
1/01/21;105.91;16.09038716
1/02/21;106.58;17.38962537
1/03/21;107.12;16.02656541
1/04/21;107.76;17.37749453
1/05/21;108.84;16.46284406
1/06/21;108.78;16.11669489
1/07/21;109.14;14.67039193
1/08/21;109.62;14.82175886
1/09/21;110.04;16.13529873
1/10/21;110.06;16.9833116
1/11/21;110.6;18.46348573
1/12/21;111.41;18.08364803
1/01/22;113.26;17.20703663
1/02/22;115.11;18.78138277
1/03/22;116.26;17.39403001
1/04/22;117.71;18.98204232
1/05/22;118.7;17.954241
1/06/22;119.31;17.67680518
1/07/22;120.27;16.16646543
1/08/22;121.5;16.42805785
1/09/22;122.63;17.9813857
1/10/22;123.51;19.05877535
1/11/22;124.46;20.77726432
1/12/22;126.03;20.4567109
1/01/23;128.27;19.48743236
1/02/23;130.4;21.27610384
1/03/23;131.77;19.71453066
1/04/23;132.8;21.4154721
1/05/23;133.38;20.1746981
1/06/23;133.78;19.82066044
1/07/23;134.45;18.07251416
1/08/23;135.39;18.30612965
1/09/23;136.11;19.95797446
1/10/23;136.45;21.05554123
1/11/23;137.09;22.88570758
1/12/23;137.72;22.3541873
